6,-1:5, 2, 0, -12
12,-4:-5, -5, -7, -9, -21
8,0:-5, 4, 1, -1, -13
3,-6:-4, -11, 3, 3, 7
10,-8:-4, 7, -18, -25, -8
-1,-2:5, -3, 11, 11, 15
6,-4:5, 15, -10, -17, 0
11,-3:6, -3, -5, -7, -19
7,1:6, 6, 3, 1, -11
14,-3:-5, -6, -6, -8, -10, -22
10,1:-5, -6, 3, 0, -2, -14
5,-5:-5, -5, -12, 2, 2, 6
12,-7:-5, -5, 6, -19, -26, -9
1,-1:-5, 4, -4, 10, 10, 14
8,-3:-5, 4, 14, -11, -18, -1
13,-2:-5, 5, -4, -6, -8, -20
9,2:-5, 5, 5, 2, 0, -12
4,2:-4, -11, -14, 4, -10, -4
6,-8:-4, -11, -8, -15, 10, -1
-1,1:-4, -6, -13, -5, -26, 8
-1,1:-4, -6, -13, -5, 8, -26
-1,1:-4, -6, -13, -5, 8, -25
-1,1:-4, -6, -13, -5, 8, -24
-1,1:-4, -6, -13, -5, 8, -23
-1,1:-4, -6, -13, -5, 8, -22
-1,1:-4, -6, -13, -5, 8, -21
-3,-4:-4, -6, 1, -8, -7, -31
-3,-4:-4, -6, 1, -8, -7, -24
-3,-4:-4, -6, 1, -8, -7, -21
-3,-4:-4, -6, 1, -8, -7, -20
5,-5:-4, -6, 6, -2, -4, 14
5,-5:-4, -6, 6, -2, -4, 15
5,-5:-4, -6, 6, -2, -4, 16
5,-5:-4, -6, 6, -2, -4, 17
5,-5:-4, -6, 6, -2, -4, 18
5,-5:-4, -6, 6, -2, -4, 19
5,-5:-4, -6, 6, -2, 14, -4
4,-6:-4, 4, 1, 6, 8, 5
4,-6:-4, 4, 1, 6, 8, 16
7,3:-4, 4, 4, 4, -14, 8
7,3:-4, 4, 4, 4, 8, -14
18,-12:-4, 4, 6, 6, -4, -1
0,6:5, -3, -6, 12, -2, 4
2,-4:5, -3, 0, -7, 18, 7
-5,5:5, 2, -5, 3, -18, 16
-5,5:5, 2, -5, 3, 16, -18
-5,5:5, 2, -5, 3, 16, -17
-5,5:5, 2, -5, 3, 16, -16
-5,5:5, 2, -5, 3, 16, -15
-5,5:5, 2, -5, 3, 16, -14
-5,5:5, 2, -5, 3, 16, -13
-7,0:5, 2, 9, 0, 1, -23
-7,0:5, 2, 9, 0, 1, -16
-7,0:5, 2, 9, 0, 1, -13
-7,0:5, 2, 9, 0, 1, -12
1,-1:5, 2, 14, 6, 4, 22
1,-1:5, 2, 14, 6, 4, 23
1,-1:5, 2, 14, 6, 4, 24
1,-1:5, 2, 14, 6, 4, 25
1,-1:5, 2, 14, 6, 4, 26
1,-1:5, 2, 14, 6, 4, 27
1,-1:5, 2, 14, 6, 22, 4
0,-2:5, 12, 9, 14, 16, 13
0,-2:5, 12, 9, 14, 16, 24
3,7:5, 12, 12, 12, -6, 16
3,7:5, 12, 12, 12, 16, -6
14,-8:5, 12, 14, 14, 4, 7
4,-4:6, -3, -10, 4, 4, 8
11,-6:6, -3, 8, -17, -24, -7
0,0:6, 6, -2, 12, 12, 16
7,-2:6, 6, 16, -9, -16, 1
12,-1:6, 7, -2, -4, -6, -18
8,3:6, 7, 7, 4, 2, -10
-11,9:5, -3, 0, 14, 6, 12, -4
-11,9:5, -3, 0, 14, 6, 12, -3
-11,9:5, -3, 0, 14, 6, 12, -2
-11,9:5, -3, 0, 14, 6, 12, -1
-11,9:5, -3, 0, 14, 6, 12, 0
-10,3:5, -3, 0, 14, 6, 19, -5
-10,3:5, -3, 0, 14, 6, 19, -4
-10,3:5, -3, 0, 14, 6, 19, -3
-10,3:5, -3, 0, 14, 6, 19, -2
-10,3:5, -3, 0, 14, 6, 19, -1
-10,3:5, -3, 0, 14, 6, 19, 0
0,-2:5, -3, 3, 6, 13, 23, -12
0,-2:5, -3, 3, 6, 13, 23, -11
0,-2:5, -3, 3, 6, 13, 23, -10
0,-2:5, -3, 3, 6, 13, 23, -9
0,-2:5, -3, 3, 6, 13, 23, -8
0,-2:5, -3, 3, 6, 13, 23, -7
3,-2:5, -3, 3, 6, 13, 23, 1
5,-4:5, -3, 10, -2, -8, -7, 3
5,-4:5, -3, 10, -2, -8, -7, 10
5,-4:5, -3, 10, -2, -8, -7, 13
5,-4:5, -3, 10, -2, -8, -7, 14
5,-4:5, -3, 10, -2, -8, 3, -7
9,4:5, -3, 10, -2, -8, 4, -8
5,-4:5, -3, 10, -2, -8, 12, -7
-2,16:5, -3, 11, 18, 10, -6, 24
-2,16:5, -3, 11, 18, 10, 24, -6
-2,16:5, -3, 11, 18, 10, 24, 0
-2,16:5, -3, 11, 18, 10, 24, 5
-2,16:5, -3, 11, 18, 10, 24, 8
8,-5:5, -3, 15, 0, -4, -6, -18
2,1:5, 2, -6, 9, 8, 6, -6
3,8:5, 2, -5, 1, -7, -16, -15
3,8:5, 2, -5, 1, -7, -16, -14
3,8:5, 2, -5, 1, -7, -16, -13
3,8:5, 2, -5, 1, -7, -16, -12
3,8:5, 2, -5, 1, -7, -16, -11
3,8:5, 2, -5, 1, -7, -16, -10
11,5:5, 2, -5, 1, 14, 3, 4
-5,5:5, 2, -5, 3, -21, 16, -19
-5,5:5, 2, -5, 3, -21, 16, -18
-5,5:5, 2, -5, 3, -21, 16, -17
-5,5:5, 2, -5, 3, -21, 16, -16
-5,5:5, 2, -5, 3, -21, 16, -15
-5,5:5, 2, -5, 3, -21, 16, -14
-5,5:5, 2, -5, 3, -10, 16, -17
-5,5:5, 2, -5, 3, -10, 16, -16
-5,5:5, 2, -5, 3, -10, 16, -15
-5,5:5, 2, -5, 3, -10, 16, -14
-5,5:5, 2, -5, 3, -10, 16, -13
-5,5:5, 2, -5, 3, -10, 16, -12
6,-8:5, 2, -5, 6, -12, -8, 9
6,-8:5, 2, -5, 6, -12, -8, 10
6,-8:5, 2, -5, 6, -12, -8, 11
6,-8:5, 2, -5, 6, -12, -8, 12
6,-8:5, 2, -5, 6, -12, -8, 13
6,-8:5, 2, -5, 6, -12, -8, 14
6,-8:5, 2, -5, 6, -12, 9, -8
-2,0:5, 2, -5, 6, 1, 10, 8
-7,0:5, 2, 9, 0, 1, -22, -29
-7,0:5, 2, 9, 0, 1, -14, -22
-7,0:5, 2, 9, 0, 1, -14, -21
-7,0:5, 2, 9, 0, 1, -14, -20
-7,0:5, 2, 9, 0, 1, -14, -19
-7,0:5, 2, 9, 0, 1, -14, -18
-7,0:5, 2, 9, 0, 1, -14, -17
5,16:5, 2, 9, 8, 16, 23, 4
5,16:5, 2, 9, 8, 16, 23, 5
-1,11:5, 2, 9, 11, 0, 17, 21
-1,11:5, 2, 9, 11, 0, 21, 17
0,12:5, 2, 9, 18, 20, 15, 21
0,12:5, 2, 9, 18, 20, 15, 22
0,12:5, 2, 9, 18, 20, 15, 23
0,12:5, 2, 9, 18, 20, 15, 24
0,12:5, 2, 9, 18, 20, 15, 25
-4,2:5, 2, 14, 3, -5, 8, 12
-12,10:5, 2, 14, 3, -5, 21, 28
-4,2:5, 2, 14, 3, 8, 12, -5
-4,2:5, 2, 14, 3, 8, 12, -4
-4,2:5, 2, 14, 3, 8, 12, -3
-4,2:5, 2, 14, 3, 8, 12, -2
-4,2:5, 2, 14, 3, 8, 12, -1
3,10:5, 2, 14, 3, 10, -9, -1
5,5:5, 2, 14, 3, 10, -8, 7
5,5:5, 2, 14, 3, 10, -8, 10
5,5:5, 2, 14, 3, 10, 7, -8
5,5:5, 2, 14, 3, 10, 7, -7
5,5:5, 2, 14, 3, 10, 7, -4
5,5:5, 2, 14, 3, 10, 7, 3
-12,10:5, 2, 14, 3, 21, 28, -5
-12,10:5, 2, 14, 3, 21, 28, -4
-12,10:5, 2, 14, 3, 21, 28, -3
-12,10:5, 2, 14, 3, 21, 28, -2
-12,10:5, 2, 14, 3, 21, 28, -1
-12,10:5, 2, 14, 3, 21, 28, 0
1,-1:5, 2, 14, 6, 4, 19, 21
1,-1:5, 2, 14, 6, 4, 19, 22
1,-1:5, 2, 14, 6, 4, 19, 23
1,-1:5, 2, 14, 6, 4, 19, 24
1,-1:5, 2, 14, 6, 4, 19, 25
1,-1:5, 2, 14, 6, 4, 19, 26
1,-1:5, 2, 14, 6, 4, 30, 23
1,-1:5, 2, 14, 6, 4, 30, 24
1,-1:5, 2, 14, 6, 4, 30, 25
1,-1:5, 2, 14, 6, 4, 30, 26
1,-1:5, 2, 14, 6, 4, 30, 27
1,-1:5, 2, 14, 6, 4, 30, 28
-4,1:5, 2, 14, 18, 4, -3, 7
6,-1:5, 10, 5, -1, 0, -12, 1
6,-1:5, 10, 5, -1, 0, -12, 8
6,-1:5, 10, 5, -1, 0, -12, 11
6,-1:5, 10, 5, -1, 0, -12, 12
6,-1:5, 10, 5, 0, 0, -12, 2
6,-1:5, 10, 5, 0, 0, -12, 3
6,-1:5, 10, 5, 0, 0, -12, 6
6,-1:5, 10, 5, 0, 0, -12, 13
0,-2:5, 10, 8, 0, 9, 6, 13
-11,5:5, 10, 9, 15, 3, 38, 27
11,1:5, 10, 10, 0, -1, -3, -15
0,-2:5, 10, 14, 8, 0, 15, 5
0,-2:5, 10, 14, 8, 11, 16, 11
-2,1:5, 10, 14, 8, 22, -11, -7
0,-2:5, 10, 14, 8, 22, -8, -8
0,-2:5, 10, 14, 8, 22, -8, -7
0,-2:5, 10, 14, 8, 22, -8, -6
0,-2:5, 10, 14, 8, 22, -8, -5
0,-2:5, 10, 14, 8, 22, -8, -4
0,-2:5, 10, 14, 8, 22, -8, -3
0,-2:5, 10, 14, 8, 22, -5, -6
0,-2:5, 10, 14, 8, 22, -5, -5
0,-2:5, 10, 14, 8, 22, -5, -4
0,-2:5, 10, 14, 8, 22, -1, -6
0,-2:5, 10, 14, 8, 22, -1, -5
0,-2:5, 10, 14, 8, 22, -1, -4
0,-2:5, 10, 14, 8, 22, -1, -3
0,-2:5, 10, 14, 8, 22, -1, -2
0,-2:5, 10, 14, 8, 22, -1, -1
12,2:5, 12, -2, -9, -1, -4, 1
12,2:5, 12, -2, -9, -1, -4, 4
12,2:5, 12, -2, -9, -1, -4, 9
12,2:5, 12, -2, -9, -1, -4, 15
12,2:5, 12, -2, -9, -1, 1, -4
-1,5:5, 12, 6, -4, 3, -8, 12
-13,5:5, 12, 9, -5, 17, 11, 14
-4,3:5, 12, 9, 7, 5, 9, 13
-12,11:5, 12, 9, 7, 5, 22, 29
0,-2:5, 12, 9, 14, 8, 13, 35
0,-2:5, 12, 9, 14, 8, 13, 36
0,-2:5, 12, 9, 14, 8, 13, 37
0,-2:5, 12, 9, 14, 8, 13, 38
0,-2:5, 12, 9, 14, 8, 13, 39
0,-2:5, 12, 9, 14, 8, 13, 40
0,-2:5, 12, 9, 14, 8, 35, 13
0,-2:5, 12, 9, 14, 8, 35, 14
0,-2:5, 12, 9, 14, 8, 35, 15
0,-2:5, 12, 9, 14, 8, 35, 16
0,-2:5, 12, 9, 14, 8, 35, 17
0,-2:5, 12, 9, 14, 8, 35, 18
0,-2:5, 12, 9, 14, 9, 13, 17
0,-2:5, 12, 9, 14, 9, 13, 24
0,-2:5, 12, 9, 14, 9, 13, 27
0,-2:5, 12, 9, 14, 9, 13, 28
0,-2:5, 12, 9, 14, 11, 8, 29
0,-2:5, 12, 9, 14, 11, 29, 8
0,-2:5, 12, 9, 14, 11, 29, 15
0,-2:5, 12, 9, 14, 11, 29, 18
0,-2:5, 12, 9, 14, 11, 29, 19
0,-2:5, 12, 9, 14, 16, 8, 18
0,-2:5, 12, 9, 14, 16, 8, 19
0,-2:5, 12, 9, 14, 16, 8, 22
0,-2:5, 12, 9, 14, 16, 8, 29
0,-2:5, 12, 9, 14, 24, 24, 9
0,-2:5, 12, 9, 14, 24, 24, 10
0,-2:5, 12, 9, 14, 24, 24, 13
0,-2:5, 12, 9, 14, 24, 24, 20
0,-2:5, 12, 9, 14, 26, 29, 8
6,-1:5, 12, 12, 2, 0, -12, 11
6,-1:5, 12, 12, 2, 0, -12, 22
3,7:5, 12, 12, 12, -5, 16, -12
6,4:5, 12, 14, 14, -3, 5, 6
6,4:5, 12, 14, 14, -3, 5, 18
6,4:5, 12, 14, 14, -3, 21, 6
6,4:5, 12, 14, 14, -3, 21, 13
7,-2:5, 12, 14, 17, -5, 0, 9
17,-13:5, 15, -19, -21, -23, -35, 5
17,-13:5, 15, -19, -21, -23, -35, 6
17,-13:5, 15, -19, -21, -23, -35, 7
17,-13:5, 15, -19, -21, -23, -35, 8
17,-13:5, 15, -19, -21, -23, -35, 9
17,-13:5, 15, -19, -21, -23, -35, 10
11,11:5, 15, -17, 12, 9, 7, -5
13,-9:5, 15, -10, -13, -15, -27, 5
13,-9:5, 15, -10, -13, -15, -27, 6
13,-9:5, 15, -10, -13, -15, -27, 7
13,-9:5, 15, -10, -13, -15, -27, 8
13,-9:5, 15, -10, -13, -15, -27, 9
13,-9:5, 15, -10, -13, -15, -27, 10
13,-9:5, 15, -10, -13, -15, 5, -27
11,5:5, 15, -9, -9, -16, -24, 0
11,5:5, 15, -9, -9, -16, 0, -24
11,5:5, 15, -9, -9, -16, 0, -23
11,5:5, 15, -9, -9, -16, 0, -22
11,5:5, 15, -9, -9, -16, 0, -21
11,5:5, 15, -9, -9, -16, 0, -20
11,5:5, 15, -9, -9, -16, 0, -19
15,7:5, 15, 3, 1, -1, -13, -17
15,7:5, 15, 3, 1, -1, -13, -16
15,7:5, 15, 3, 1, -1, -13, -15
15,7:5, 15, 3, 1, -1, -13, -14
11,11:5, 15, 12, 9, 7, -5, -17
11,11:5, 15, 12, 9, 7, -5, -16
11,11:5, 15, 12, 9, 7, -5, -15
11,11:5, 15, 12, 9, 7, -5, -14
11,11:5, 15, 12, 9, 7, -5, -13
11,11:5, 15, 12, 9, 7, -5, -12
5,4:6, -3, -10, -13, 5, -9, -3
7,-6:6, -3, -10, -7, -14, 11, 0
0,3:6, -3, -5, -12, -4, -25, 9
0,3:6, -3, -5, -12, -4, 9, -25
0,3:6, -3, -5, -12, -4, 9, -24
0,3:6, -3, -5, -12, -4, 9, -23
0,3:6, -3, -5, -12, -4, 9, -22
0,3:6, -3, -5, -12, -4, 9, -21
0,3:6, -3, -5, -12, -4, 9, -20
-2,-2:6, -3, -5, 2, -7, -6, -30
-2,-2:6, -3, -5, 2, -7, -6, -23
-2,-2:6, -3, -5, 2, -7, -6, -20
-2,-2:6, -3, -5, 2, -7, -6, -19
6,-3:6, -3, -5, 7, -1, -3, 15
6,-3:6, -3, -5, 7, -1, -3, 16
6,-3:6, -3, -5, 7, -1, -3, 17
6,-3:6, -3, -5, 7, -1, -3, 18
6,-3:6, -3, -5, 7, -1, -3, 19
6,-3:6, -3, -5, 7, -1, -3, 20
6,-3:6, -3, -5, 7, -1, 15, -3
5,-4:6, -3, 5, 2, 7, 9, 6
5,-4:6, -3, 5, 2, 7, 9, 17
8,5:6, -3, 5, 5, 5, -13, 9
8,5:6, -3, 5, 5, 5, 9, -13
19,-10:6, -3, 5, 7, 7, -3, 0
1,8:6, 6, -2, -5, 13, -1, 5
3,-2:6, 6, -2, 1, -6, 19, 8
-4,7:6, 6, 3, -4, 4, -17, 17
-4,7:6, 6, 3, -4, 4, 17, -17
-4,7:6, 6, 3, -4, 4, 17, -16
-4,7:6, 6, 3, -4, 4, 17, -15
-4,7:6, 6, 3, -4, 4, 17, -14
-4,7:6, 6, 3, -4, 4, 17, -13
-4,7:6, 6, 3, -4, 4, 17, -12
-6,2:6, 6, 3, 10, 1, 2, -22
-6,2:6, 6, 3, 10, 1, 2, -15
-6,2:6, 6, 3, 10, 1, 2, -12
-6,2:6, 6, 3, 10, 1, 2, -11
2,1:6, 6, 3, 15, 7, 5, 23
2,1:6, 6, 3, 15, 7, 5, 24
2,1:6, 6, 3, 15, 7, 5, 25
2,1:6, 6, 3, 15, 7, 5, 26
2,1:6, 6, 3, 15, 7, 5, 27
2,1:6, 6, 3, 15, 7, 5, 28
2,1:6, 6, 3, 15, 7, 23, 5
1,0:6, 6, 13, 10, 15, 17, 14
1,0:6, 6, 13, 10, 15, 17, 25
4,9:6, 6, 13, 13, 13, -5, 17
4,9:6, 6, 13, 13, 13, 17, -5
15,-6:6, 6, 13, 15, 15, 5, 8
5,-2:6, 7, -2, -9, 5, 5, 9
12,-4:6, 7, -2, 9, -16, -23, -6
1,2:6, 7, 7, -1, 13, 13, 17
8,0:6, 7, 7, 17, -8, -15, 2
13,1:6, 7, 8, -1, -3, -5, -17
9,5:6, 7, 8, 8, 5, 3, -9
